id;location;geo_name;coordinates;wikidata;street;additional_address;geo_name_alt
21;Abteroda;Abteroda;50.9028,10.0764;Q334483;;;
22;Adelsdorf;Adelsdorf;51.319373,13.582835;Q45147106;;b. Großenhain;
23;Adorf/Erzgebirge;Adorf/Erzgeb.;50.7564,12.8768;Q366362;;;
24;Albernau;Albernau;50.548888888889,12.655833333333;Q2637402;;;
25;Alsleben;Alsleben;51.701,11.68;Q488270;;(pr. Sachsen;
31;Alt-Sedlitz;Staré Sedliště;49.744451332948,12.694192915077;Q788911;;;Alt Zedlisch
26;Altenberg;Altenberg;50.764444444444,13.757777777778;Q436724;;;
27;Altenburg;Altenburg;50.985,12.433333333333;Q15976;;(Thüringen);
29;Altendorf;Altendorf (Altenberga);50.8375,11.5744;Q436970;;(Thüringen);
30;Altsattel;Altsattel;;Q95609095;;;
33;Annaberg/Erzgeb.;Annaberg;50.58015,13.00231;Q51164090;;(Annaberg-Buchholz);
35;Annaburg;Annaburg;51.732777777778,13.045555555556;Q490413;;(pr. Sachsen;
36;Ansprung;Ansprung;50.6477,13.2578;Q570161;;;
37;Apolda;Apolda;51.024722222222,11.513888888889;Q490689;;;
38;Artern;Artern;51.36666666666667,11.3;Q163346;;(pr. Sachsen;
39;Aschersleben;Aschersleben;51.75,11.466666666667;Q486991;;(pr. Sachsen) –Sachsen-Anhalt;
40;Aslau;Osła;51.316666666667,15.75;Q7108308;;(pr. Niederschlesien);
41;Aue;Aue;50.585277777778,12.700833333333;Q57948;;Mulde Sachsen;
42;Auerbach/V.;Auerbach;50.509444444444,12.4;Q46843;;;
43;Auperschien;Úpořiny;50.6158,13.8744;Q11087120;;(Bystrany, Sudeten);Auperschin
44;Auschwitz;Auschwitz;50.0262,19.2041;Q7341;;;Oświęcim
45;Aussig;Ústí nad Labem;50.659166666667,14.041666666667;Q156974;;;
49;Authausen;Authausen;51.5917,12.6789;Q784543;;;
50;Bad Düben;Bad Düben;51.591944444444,12.585277777778;Q12041;;(pr. Sachsen);
51;Bad Kösen;Bad Kösen;51.135277777778,11.720555555556;Q574451;;(Thüringen) – Sachsen-Anhalt;Bad Kösen/Naumburg
52;Bad Lausick;Bad Lausick;51.144722222222,12.645277777778;Q10739;;;
53;Bad Muskau;Bad Muskau;51.549722222222,14.72;Q165131;;(pr. Niederschlesien) – Oberlausitz;
54;Bad Schandau;Bad Schandau;50.916666666667,14.15;Q6406;;;
55;Bad Sulza;Bad Sulza concentration camp;51.0889,11.6247;Q443316;;(Thüringen);
;;;51.083301,11.6;;;;
56;Bahratal;Bahratal;50.83333,13.96667;Q21152945;;Bad Gottleuba;
57;Ballenstedt;Ballenstedt;51.72,11.2375;Q50886;;(pr. Sachsen) Harz;
58;Bärenfels;Bärenfels;50.794722222222,13.673888888889;Q1019100;;Osterzgebirge;Altenberg-Bärenfels
59;Bärenwalde;Bärenwalde;50.5653,12.5283;Q1019190;;Crinitzberg, Kreis Zwickau;
60;Bärringen;Pernink;50.36579954429,12.78379730222;Q927902;;(Pernink);
61;Bautzen;Bautzen;51.181388888889,14.423888888889;Q14835;;;
65;Bebra;Bebra;50.971111111111,9.7902777777778;Q558530;;;
66;Beierfeld;Beierfeld;50.561111111111,12.787222222222;Q814665;;Grünhain-Beierfeld, Erzgebirge;
67;Beiersdorf/V.;Beiersdorf (Fraureuth);50.6811,12.3466;Q814676;;Gemeinde Fraureuth, Kreis Zwickau;
68;Belgershain;Belgershain;51.233333333333,12.55;Q10740;;;
69;Bennewitz;Bennewitz;51.359722222222,12.711388888889;Q10741;;bei Wurzen;
71;Berga;Berga;51.456666666667,11.007777777778;Q648358;;Mansfeld, Südharz;
72;Berga/Elster;Berga;50.75,12.166666666667;Q276150;;(Thüringen);
73;Bergen-Belsen;Bergen-Belsen concentration camp;52.758899,9.907099;Q7332;;;
75;Berggießhübel;Berggießhübel;50.87442,13.94641;Q15096887;;;
76;Berlin;Berlin;52.516666666667,13.383333333333;Q64;;;
77;Bernsdorf;Bernsdorf;50.766666666667,12.666666666667;Q17112;;(b. Zwickau);
78;Bernsdorf/Oberlausitz;Bernsdorf, Bautzen;51.366666666667,14.066666666667;Q81732;;;
79;Bielatal;Rosenthal-Bielatal;50.866666666667,14.05;Q8234;;;
80;Biendorf;Biendorf railway stop;51.7569348,11.8561082;Q109396458;;;
81;Bieschin;Běšiny station;49.3044,13.3036;Q18170881;;;
82;Bischofswerda;Bischofswerda;51.1275,14.179722222222;Q81717;;;
84;Bitterfeld;Bitterfeld;51.623888888889,12.33;Q836932;;;
85;Blankenstein;Blankenstein;51.0389,13.435;Q881615;;(b. Wilsdruff);
86;Blauenthal;Blauenthal;50.514166666667,12.625555555556;Q882580;;;
87;Bobenneukirchen;Bobenneukirchen;50.3775,12.0605;Q98831475;;;
88;Bobersen;Bobersen;51.32416667,13.29944444;Q19275564;;;
89;Bockau;Bockau;50.55,12.7;Q57720;;;
97;Bockendorf;Bockendorf;50.927132,13.162151;Q65183834;;(b. Hainichen);
98;Bockwitz;Bockwitz;51.42222222,13.09361111;Q2662787;;(b. Dahlen;
99;Bodenbach;Podmokly;50.7744,14.1989;Q12045917;;(Podmokly);
100;Böhlen;Böhlen;51.2025,12.385833333333;Q10743;;(b. Dahlen);
869;Bolkenhain;Gmina Bolków;50.933333333333,16.1;Q2461704;;(Bolköw);

101;Boragk;Boragk;51.4225,13.2635;Q893298;;(b. Mühlberg);
102;Börnersdorf;Börnersdorf;50.82524,13.87869;Q15096891;;;
103;Bornitz;Bornitz;51.3044,13.1806;Q893997;;;
104;Borsdorf;Borsdorf;51.346944444444,12.538333333333;Q10745;;;
105;Borstendorf;Borstendorf;50.77323,13.17918;Q57729;;;
107;Brand-Erbisdorf;Brand-Erbisdorf;50.868888888889,13.321944444444;Q71159;;;
106;Brandenburg/Havel;Brandenburg an der Havel;52.411666666667,12.556111111111;Q3931;;;
108;Brandhofen;Spohla;51.404722222222,14.268055555556;Q160674;;(heute Spohla);
109;Braunschweig;Brunswick;52.269166666667,10.521111111111;Q2773;;;
110;Brehna;Brehna;51.55756,12.21282;Q119311;;;
111;Breitenbrunn;Breitenbrunn;50.474722222222,12.766666666667;Q57731;;;
112;Breslau-Hundsfeld;Wrocław Psie Pole;51.1504,17.1192;Q9378102;;Wroclaw Psie Pole;
113;Brieg;Brzeg;50.866666666667,17.483333333333;Q214640;;(Brzeg);
114;Brünst;Brünst egal;;;;(Bayern);
115;Brüx;Most;50.503055555556,13.636666666667;Q146363;;(Most);Most
117;Buchau;Bochov;50.151005211385,13.045244542696;Q512631;;(Bochov);
118;Buchenwald;Buchenwald concentration camp;51.021198,11.248999;Q152802;;;
121;Budweis;České Budějovice;48.974722222222,14.474722222222;Q16506;;;Ceske Budejovice
122;Bunzlau;Bolesławiec;51.266666666667,15.566666666667;Q156828;;;
124;Burkau;Burkau;51.183333333333,14.183333333333;Q93216;;;
125;Burkersdorf;Burkersdorf;50.8164,13.4864;Q1016383;;(b. Frauenstein);
126;Burkhardtsdorf;Burkhardtsdorf;50.734722222222,12.921944444444;Q57736;;(b. Chemnitz);
127;Burkhardtsgrün;Burkhardtsgrün;50.5333,12.6222;Q1016556;;;
128;Buttstedt;Büttstedt;51.25,10.3;Q629817;;(Thüringen);
130;Calbe;Calbe;51.903333333333,11.775833333333;Q505176;;;
131;Calbitz;Calbitz;51.328744444444,13.008191666667;Q1026300;;;
132;Canitz;Canitz;51.3133,13.2206;Q1033336;;;
