id,Name,Ort,Standort des Lagers,Betreiber,Dauer des Bestehens,Häftlingsbelegung,Unterbringung,Art der Arbeiten,Todesopfer,Rücküberstellungen,Fluchten,Zugänge aus anderen Lagern,Evakuierung,Juristische Aufarbeitung,Besonderheiten der Evakuierung,Besonderheiten des Lagers,Ende der Evakuierung,Todesopfer/Vorkommnisse,Verlauf/Orte,Datum,Typ,Stärke der Kolonne,Beginn der Evakuierung,Marsch auf sächsischem Gebiet,weitere Evakuierung,Ende/Befreiung,Besonderheiten,Häftlingsstärke,Verbleib,Arbeitseinsatz,Herkunft,Anzahl Todesopfer,Bekannte Opfer,Dauer des Bahntransports,Dauer der Evakuierung
1,Aussenlager KZ Flossenbuerg,Aue (6).,Aue.,Reichausbildungslager Elbe IV.,Bis April 1945.,20 ungarische jüdische Männer.,Verwahrräume im Gerichtsgefängnis Aue.,"Umbau eines HJ-Heimes zur SS-Führerschule, Versorgungs arbeiten.",Keine.,Nicht bekannt.,Keine.,Keine.,"14. April 1945 mit Lkw über Wildenthal nach Karlsbad – Anschluss an eine andere Evakuierungskolonne, für die sie die „Friedhofskolonne“ bildeten. Vier Befreite in Theresienstadt registriert.",Nicht bekannt.,Nicht bekannt.,Nicht bekannt.,Nicht bekannt.,Nicht bekannt.,"14. April 1945 mit Lkw über Wildenthal nach Karlsbad – Anschluss an eine andere Evakuierungskolonne, für die sie die „Friedhofskolonne“ bildeten. Vier Befreite in Theresienstadt registriert.",1945-04-14,Aussenlager,Nicht bekannt.,Nicht bekannt.,Nicht bekannt.,Nicht bekannt.,Nicht bekannt.,Nicht bekannt.,Nicht bekannt.,Nicht bekannt.,Nicht bekannt.,Nicht bekannt.,Nicht bekannt.,Nicht bekannt.,Nicht bekannt.,Nicht bekannt.
2,Aussenlager KZ Gross-Rosen,Bautzen (7). Busch.,"Betriebsgelände der Waggon- und Maschinenfabrik, vormals","Maschinenfabrik WUMAG, vormals Busch, zum Flick-Konzern gehörig.",1. Oktober 1944 bis 19. April 1945.,"500 bis 600; im Februar 498, meist jüdische Männer aus Polen, der Tschechoslowakei, der Sowjetunion, Frankreich, Belgien, Deutschland, Jugoslawien.",Barackenlager. Verzeichnis der KZ-Außenlager 463,"Verschiedene, teils sehr schwere und gesundheitsschädliche Arbeiten der Kriegsproduktion in der WUMAG; ab 15. Februar 1945 Schanzarbeiten für Befestigungsanlagen und Straßenbau.","Circa 400. Zuerst wurden Leichen im Krematorium Görlitz verbrannt. 302 Leichen, die in einer Sandgrube verscharrt worden waren, bestattete man nach dem Krieg auf dem jüdischen Friedhof Bautzen.",Nicht bekannt.,Zwei; ein Russe und ein Deutscher wurden wegen Fluchtversuch gehängt.,Am 16. April kamen über 100 Häftlinge des AL Schlieben (KZ Buchenwald) (80.2) nach Bautzen; Mitte April kamen 40 typhus- kranke Häftlinge des AL Brandhofen (68.2) ins Lager. Sie blieben auf der Krankenstadion und nur acht überlebten und wurden am 20. April von der Roten Armee befreit.,Etwa 200 gehfähige Häftlinge wurden eilig am 19. April evakuiert. Auf Pferdewagen wurden Gepäckstücke verladen und von Häftlingen gezogen. Etwa 100 Kranke blieben ohne Nahrung und Wasser bewacht durch Volkssturmmänner im Lager zurück und wurden am nächsten Tag befreit.,Das Sonderstrafgericht in Katowice verurteilte den in Bautzen eingesetzten SS-Unterscharführer Erich König am 3. Oktober 1946 zu einer siebenjährigen Haftstrafe. Wilhelm Bahr wurde 1946 von einem britischen Militärgericht in Hamburg wegen Beteiligung an der Tötung und Misshandlung von Häftlingen in Neuengamme zum Tode verurteilt und hinge- richtet. Ein Ermittlungsverfahren der Zentralstelle des Landes Nord- rhein-Westfalen für die Bearbeitung der nationalsozialistischen Massenverbrechen in Konzentrationslagern gegen Wilhelm Bahr wurde 1974 wegen des Todes des Beschuldigten eingestellt.464 KZ-Außenlager in Sachsen,Die Bewacher planten bei Wölmsdorf alle Häftlinge zu erschie- ßen. Die Bevölkerung bekam davon Kenntnis und protestierte dagegen. Man befürchtete die Rache der herannahenden Trup- pen.,"Der SS Lagerkommandant Rudolf Jannisch versuchte, Tote im Kesselhaus des Werkes zu verbrennen. Er scheiterte am Protest der Heizer. Im Lager selektierte SS-Unterscharführer Wilhelm Bahr Kranke aus und ermordete 60 durch Salzsäure-und Phenol- spritzen.",Am 8. Mai 1945 verließen Wachmannschaften und Lagerkom- mandant den Häftlingszug und am 9. Mai befreiten Soldaten der Zweiten Polnischen Armee die Häftlinge.,"Bei der „Hohenwaldschänke“ erschoss die SS zwei gehunfähige Häftlinge, bei Wölmsdorf weitere zehn.","Der Häftlingszug – von SS-Leuten und Hunden bewacht – zog über Neukirch, Steinigtwolmsdorf, Neudörfel, Wölmsdorf (Vilémov) nach Nixdorf (Mikulášovice). Hier kamen die Häftlinge in Baracken ehemaliger Ostarbeiter bis zur Befreiung unter.",1945-04-19,Aussenlager,Nicht bekannt.,Nicht bekannt.,Nicht bekannt.,Nicht bekannt.,Nicht bekannt.,Nicht bekannt.,Nicht bekannt.,Nicht bekannt.,Nicht bekannt.,Nicht bekannt.,Nicht bekannt.,Nicht bekannt.,Nicht bekannt.,Nicht bekannt.
3,Aussenlager KZ Buchenwald,Böhlen (bei Leipzig) (17).,"Wahrscheinlich Lippendorf, Hochhalde.","Braunkohle Benzin AG, Hydrierwerk Böhlen.",25. Juli 1944 bis 28. November 1944.,"Insgesamt 1.100 nichtjüdische Häftlinge (Russen, Polen, Tsche- chen, Franzosen, Italiener und Deutsche).","Zuerst möglicherweise Zeltlager, später Aufbau von Baracken, die aber nicht mehr genutzt wurden.","Bunkerbau, schwere Räum- und Bauarbeiten.",Zehn – Verbleib nicht bekannt.,"977 Häftlinge wurden in das AL Königstein (KZ Flossenbürg) überstellt, andere nach Buchenwald.",35 registrierte; fünf davon erfolglos.,Nicht bekannt.,Nicht bekannt.,Keine Verfahren bekannt. Verzeichnis der KZ-Außenlager 465,Nicht bekannt.,"Die genauen Umstände des Häftlingseinsatzes sind bisher nicht geklärt. Im Juli 1944 wurden in Böhlen das Arbeitserziehungsla- ger (AEL) „Höhensonne“ (Lippendorf), etwas später das AEL „Alpenrose“ (Peres) errichtet. Von den dort inhaftierten etwa 300 niederländischen Zwangsarbeitern starb etwa ein Drittel während des Arbeitseinsatzes. Das AEL „Höhensonne“ wurde bis zum Kriegsende für andere Ausländer genutzt. Wegen der beabsichtigten Produktionsverlagerung, der hohen Fluchtrate und dem Einsatz anderer Zwangsarbeiter wurde der Arbeitseinsatz von KZ-Häftlingen offenbar rasch wieder beendet. Über einen erneuten Einsatz von KZ-Häftlingen ab Februar 1945 wurden bisher keine Feststellungen getroffen.",Nicht bekannt.,Nicht bekannt.,Nicht bekannt.,1944-11-28,Aussenlager,Nicht bekannt.,Nicht bekannt.,Nicht bekannt.,Nicht bekannt.,Nicht bekannt.,Nicht bekannt.,Nicht bekannt.,Nicht bekannt.,Nicht bekannt.,Nicht bekannt.,Nicht bekannt.,Nicht bekannt.,Nicht bekannt.,Nicht bekannt.
4,Aussenlager KZ Gross-Rosen,Brandhofen (heute Spohla) (68.2).,Evakuierungsort Brandhofen (Spohla) des KZ-AL Niesky (68).,"Ausweich-Lager „Wiesengrund“ aus Niesky, Waggonfabrik Christoph & Unmack AG, Maschinenbetrieb des Krupp-Konzerns.",1. März 1945 bis 18. April 1945.,500 Männer aus verschiedenen Ländern.,Belegt wurden am Dorfanger zwei große Scheunen als Notunter- kunft für die Häftlinge.,"In den umliegenden Orten Dörgenhausen, Wittichenau, Saalau, Kotten und Hoske wurden Schützengräben ausgehoben und Befestigungsanlagen sowie Panzersperren errichtet. Es waren vorwiegend Schanzarbeiten in der Gegend und weniger Arbeiten als Helfer in der Landwirtschaft und bei Handwerkern zu verrichten.","Circa 250 Häftlinge, wovon etwa die Hälfte nachgewiesen ist.",Nicht bekannt.,Nicht bekannt.,Nicht bekannt.,"Am 19. April 1945 wurden die 250 Häftlinge weiter Richtung Wittichenau getrieben. Drei Holzwagen, von angeketteten Häftlingen gezogen, waren mit Gestorbenen beladen.",siehe AL Niesky.,"Nach Berichten von Häftlingen geriet die Marschkolonne auch in Kämpfe der Wehrmacht mit Einheiten der Roten Armee, wurden teils befreit, aber wieder von SS-Leuten gefangen genommen. Es kam offenbar auch zu Selbstjustiz von Häftlingen an Kapos.","Diese Zustände in der großen Scheune waren katastrophal. Es war nicht ausreichend Stroh vorhanden und es herrschte ein solcher Platzmangel, dass im Sitzen geschlafen werden musste. Nachts wurde die Scheune verschlossen und die Häftlinge mussten ihre Notdurft an der Schlafstelle verrichten. In Spohla entdeckten Einwohner am 21. April 1945, nachdem die SS mit den Häftlingen abgezogen war, in einer vernagelten Scheune 33 schwerkranke Häftlinge. Tagelang waren die Kranken ohne Pflege und Nahrung geblieben und lagen auf verrottetem Stroh. Die sowjetischen Truppen richteten eine Krankenstube im Gasthof ein. 18 Menschen starben noch an der Auszehrung. Zehn wurden in das Wittichenauer Krankenhaus eingeliefert, wo weitere acht wegen Entkräftung starben.",Eine Gruppe Häftlinge wurden bis Pirna getrieben und auf Lastkähnen auf der Elbe einquartiert. In Pirna setzte man diese Häftlinge zu Aufräumarbeiten nach dem Bombenangriff vom 19. April 1945 ein. Circa 50 Häftlinge kamen mit Lastkähnen am 9. Mai 1945 in Theresienstadt an und wurden durch die Rote Armee befreit.,Unterwegs brach Flecktyphus aus und die Hälfte der 250 Häftlinge starb daran. Zehn Tote wurden in Struppen bei Pirna begraben.466 KZ-Außenlager in Sachsen,"Der Todesmarsch wurde fortgesetzt über Milstrich – Schiedel – Zschornau bis Deutschbaselitz. Die Überlebenden zogen weiter über Kamenz, Bischofswerda, Radeberg und Fischbach. Dort wurden die meisten Lebenden von polnischen Truppen befreit.",1945-04-19,Aussenlager,Nicht bekannt.,Nicht bekannt.,Nicht bekannt.,Nicht bekannt.,Nicht bekannt.,Nicht bekannt.,Nicht bekannt.,Nicht bekannt.,Nicht bekannt.,Nicht bekannt.,Nicht bekannt.,Nicht bekannt.,Nicht bekannt.,Nicht bekannt.
5,Aussenlager KZ Flossenbuerg,Chemnitz (13). Waplerstr. 1.,"Astra-Werke, Werk I, Altchemnitzer Str 41 und Werk II,","Astra Werke AG, Chemnitz.",24. Oktober 1944 bis 13. April 1945.,510 weibliche Häftlinge vom KZ Auschwitz aus verschiedenen europäischen Ländern.,Im obersten Stockwerk des Werkes I. Die Werkhalle war mit dreistöckigen Pritschen ausgelegt und die Fenster waren vergittert.,Fertigung von Aggregaten für Flugzeuge und Metallteilen für Maschinengewehre.,Zwei.,Am 12. Februar wurden sieben Frauen in das KZ Ravensbrück überstellt.,Sieben.,Am 12. Februar kamen fünf Häftlingsfrauen aus dem Dresdner KZ-Außenlager des Goehlewerkes als Ersatz.,"13. April 1945 nach 21.00 Uhr Fußmarsch zum Güterbahnhof Hilbersdorf. Die Häftlingsfrauen mussten noch einen Tag in geschlossen Güterwaggons verbringen, bis der Transport nach Leitmeritz abfuhr.","In der SBZ kam es gegen die SS-Aufseherinnen bei der Astra AG zur Anklage. Die Mehrheit erhielt einen Freispruch, aber eine Anneliese B. wurde von einem SMT zu 25 Jahren Freiheitsentzug und auch eine Olga L. zu mehrjähriger Haft verurteilt. Der Kommandant des AL Astra-Werke AG, SS-Oberscharführer Willing, soll sich beim Einmarsch der Roten Armee im Mai 1945 erschossen haben.",Nicht bekannt.,"Durch das KZ Flossenbürg wurden für 11.795 Tagesbeschäftigun- gen zu 4,- RM für Dezember 1944 abzüglich der Verpflegungskos- ten pro Tag 36.276,20 RM gefordert.",Nicht bekannt.,Es soll Erschießungen während des Fußmarsches gegeben haben. Beweise dafür sind nicht vorhanden. Verzeichnis der KZ-Außenlager 467,"Die Fahrtstecke ist nicht bekannt. An der Ankunft blieben die Frauen etwa eine Woche in Leitmeritz. Dann mussten sie nach Hertine marschieren, wo sie bis zum Kriegsende Munition mit Sprengstoff befüllten.",1945-04-13,Aussenlager,Nicht bekannt.,Nicht bekannt.,Nicht bekannt.,Nicht bekannt.,Nicht bekannt.,Nicht bekannt.,Nicht bekannt.,Nicht bekannt.,Nicht bekannt.,Nicht bekannt.,Nicht bekannt.,Nicht bekannt.,Nicht bekannt.,Nicht bekannt.
6,Aussenlager KZ Buchenwald,Colditz (15). Rochlitzer Straße 21.,"Südwerk der Steingutfabrik AG Colditz, Colditz,",Hugo-Schneider-Aktiengesellschaft Leipzig (HASAG).,29. November 1944 bis 14. April 1945.,"Ungarische und polnische Juden, Deutsche; gesamt: 722 Männer. Letzte bekannte Stärke: 633 am 10. April 1945.",Erd- und Dachgeschoss eines dreistöckigen Fabrikgebäudes.,"Bauarbeiten, Vorbereitung der Produktion von Metallteilen für Munitions- beziehungsweise Panzerfaustproduktion.","Insgesamt 38, davon sieben verbrannt, deren Urnen nach Buchenwald gingen; 31 an der Mauer des Colditzer Friedhofs begraben.",63.,Keine.Besonderheiten des Lagers,"Zugang Evakuierungstransport vom AL RAW Jena (KZ Buchen- wald) (47). Standort: Jena, Löbstädter Straße 56, Thüringen. Betreiber: Reichsbahnausbesserungswerk (RAW) Jena; Evakuie- rung: Abtransport der über 900 männlichen Häftlinge (überwie- gend Nichtjuden) am Abend des 3. April 1945 über Weißenfels nach Colditz; Ankunft am 4. oder 5. April 1945. Während des Transports verstarben 36 Häftlinge, die in Colditz beerdigt wurden. Letzte bekannte Stärke: 898 am 10. April 1945 (in Colditz).468 KZ-Außenlager in Sachsen","14. April 1945: Abmarsch in Colditz, Erschießung mehrerer Häftlinge, die sich versteckt hatten. Neun oder zehn Häftlinge wurden von amerikanischen Truppen befreit",Sowohl bei Ermittlungen unmittelbar nach dem Krieg wie durch die Zentrale Stelle der Landesjustizverwaltungen wurden keine hinreichenden Verdachtsmomente gegen Verdächtige oder deren Aufenthaltsorte ermittelt.,Nach der Marschpause in einem Steinbruch bei Kleinbobritzsch nahm die Zahl der Erschießungen massiv zu. Erst nach Ablösung des Kommandeurs der Kolonne auf böhmi- schem Gebiet wurden diese eingestellt und die Häftlinge mit Nahrung versorgt.,Nicht bekannt.,"27. April 1945: Leitmeritz – Theresienstadt, Ankunft von 399 Häftlingen aus Colditz in Leitmeritz. Bis 8. Mai 1945: Tod von drei Häftlingen, nach der Befreiung starben weitere 13 Häftlinge in Theresienstadt.",Nicht bekannt.,Marschstrecke: Colditz – Hausdorf (1†) – Gersdorf (1†) – Harthaer Kreuz (1†) – Hartha – Waldheim – Massanei. 15. April 1945: Massanei (2†) – Reichenbach – Etzdorf – Nossen. 16. April 1945: Nossen (1†) – Zellwald (25†) – Siebenlehn – Kleinvoigtsberg (Flucht drei deutscher Funktionshäftlinge aus Jena) – Halsbrücke – Conradsdorf. 17. April 1945: Conradsdorf (4†) – Naundorf – Ortsgrenze zwischen Nieder- und Oberbobritzsch. 18. April 1945: Nieder-/Oberbobritzsch – Kleinbobritzsch. Bis 20. April 1945: Marschpause. 21. April 1945: Kleinbobritzsch – Reichenau – Rehefeld-Zaunhaus (Sachsen wurde verlassen). Bis 26. April 1945: Teplitz-Schönau – Welemin – Leitmeritz (Aufnahme der nichtjüdischen Häftlinge).,1945-04-14,Aussenlager,Nicht bekannt.,Nicht bekannt.,Nicht bekannt.,Nicht bekannt.,Nicht bekannt.,Nicht bekannt.,Nicht bekannt.,Nicht bekannt.,Nicht bekannt.,Nicht bekannt.,Nicht bekannt.,Nicht bekannt.,Nicht bekannt.,Nicht bekannt.
7,Aussenlager KZ Flossenbuerg,Bernsdorf Frauenlager (18.2).,"Dresden-Striesen, Fabrikgebäude in der Schandauer Str. 68.",Bezeichnung: Bernsdorf & Co.,26. November 1944 bis 14. April 1945.,265 Frauen und 19 Kinder (gesamt 284).,Oberstes Stockwerk im Fabrikgebäude der Firma Yasmazi (Reemtsma-Konzern) – von Männern getrennt.,Munitionsproduktion.,"Einige Bombenopfer im Krankenlager im obersten Stockwerk, drei namentlich bekannt.",Nicht bekannt.,Keine bekannt.,Nicht bekannt.,"Marsch von 143 Frauen nach Pirna, dann Bahntransport bis Zwodau und vom Hauptlager Flossenbürg in der letzten Stärke- meldung vom 14. April 1945 für Zwodau registriert. Von dort aus mussten sie an der Evakuierung teilnehmen.",Siehe Männerlager.,Nicht bekannt.,"Frauen und Männer waren mitsamt ihren Kindern bei Auflösung des Ghettos Lodz (Litzmannstadt) im August 1944, in dem die Männer als geschlossene Metallgruppe II in der Munitionsferti- gung gearbeitet hatten, nach Auschwitz gebracht, dort aber nicht selektiert worden. Der bis zur Ghettoauflösung als Leiter der Ghettoverwaltung amtierende Hans Biebow übernahm, um nicht zum Fronteinsatz herangezogen zu werden, die Leitung der Metallgruppe II mit deren als äußerst kriegswichtig betrachteter Spezialmunitionsfertigung. Deshalb setzte er durch, dass die Häft- linge einschließlich ihrer Kinder Auschwitz ohne Selektion passieren konnten.",Anfang Mai von US-Truppen befreit.,Nicht bekannt.,Wegen Überbelegung des Lagers Weitermarsch bis Neu-Rohlau- Alt-Sedlitz (Starè Sedlistè); die teils typhuskranken Frauen wurden in einer Mühle sich selbst überlassen.,1945-04-14,Aussenlager,Nicht bekannt.,Nicht bekannt.,Nicht bekannt.,Nicht bekannt.,Nicht bekannt.,Nicht bekannt.,Nicht bekannt.,Nicht bekannt.,Nicht bekannt.,Nicht bekannt.,Nicht bekannt.,Nicht bekannt.,Nicht bekannt.,Nicht bekannt.
8,Aussenlager KZ Flossenbuerg,Bernsdorf Männerlager (18.1).,"Dresden-Striesen, Fabrikgebäude in der Schandauer Str. 68.","Bezeichnung: Bernsdorf & Co. Das Lager bestand von der SS aus zwei getrennt berechneten Lagern, einem für weibliche Häftlinge und einem für männliche.",24. November 1944 bis 14. April 1945.,216 jüdische Männer.,Oberstes Stockwerk im Fabrikgebäude der Firma Yasmazi (Reemtsma-Konzern) – getrennt von den weiblichen Häftlingen.,Munitionsproduktion.,54 in Dresden und in Mockethal-Zatschke,Überstellung von 39 männlichen Häftlingen nach Mockethal- Zatschke. Dies Lager war auch Zwischenlager nach dem Bomben- angriff am 13./14. Februar 1945.,Zwei Gruppen (circa 20) mit falschen Papieren von den im Lager arbeitenden deutschen Ingenieuren ausgerüstet.,"Bei dem Aufenthalt der Munitionsgruppe II im KZ Stutthof wurden die Häftlingsgruppen der Frauen und Männer für in Stutt- hof Umgekommene ergänzt, um die Zahl 500 zu erreichen.",14. April 1945 per Fussmarsch nach Theresienstadt (Terezín).,Leiter der in Dresden aufgebauten Munitionsfabrik war der im Ghetto Lodz als Leiter der Ghettoverwaltung fungierende Hans Biebow. Ihn verurteilte ein polnisches Gericht für die von ihm verübten Verbrechen 1947 zum Tode. Er wurde hingerichtet.,Nicht bekannt.,"Eine zweite Gruppe ist in Bad Schandau geflüchtet und wurde in Oberpoyritz von der Familie Fuchs versteckt. Am 12. Mai 1945 fielen Herr Fuchs und der Pole Szwajzer einem Mord zum Opfer, bei dem die Täter ungeklärt blieben. Herr und Frau Fuchs wurden als „Gerechte unter den Völkern“ ausgezeichnet.",Nicht bekannt.,Vier in Aussig.,Bad Schandau – Tetschen (Decín) – Aussig (Usti nad Labem) – Theresienstadt.,1945-04-14,Aussenlager,Nicht bekannt.,Nicht bekannt.,Nicht bekannt.,Nicht bekannt.,Nicht bekannt.,Nicht bekannt.,Nicht bekannt.,Nicht bekannt.,Nicht bekannt.,Nicht bekannt.,Nicht bekannt.,Nicht bekannt.,Nicht bekannt.,Nicht bekannt.
9,Aussenlager KZ Flossenbuerg,Dresden Goehle (19).,"Goehle-Werk Dresden, Riesaer Str. 2.",Zeiss Icon Dresden.,8. Oktober 1944 bis 14. April 1945.,697 weibliche Häftlinge verschiedener Länder (die Mehrzahl Jüdinnen).,"Fabrikgebäude Riesaer Str. 2, obere Etagen Fabrikneubau, die Pritschen hatten Bettzeug.",Zeitzünder- und Geschossproduktion für das Jägerprogramm in 12-Stunden-Schichten.,Drei.,Zwei Frauen nach Bergen-Belsen oder Ravensbrück und Verle- gungen von fünf zum AL Astra-Werke Chemnitz. Zwei Frauen wurden entlassen.,"13, davon neun erfolgreich.",Nicht bekannt.,14. April 1945.,"Ende 1948/Anfang 1949 fand vor der Großen Strafkammer des Landgerichtes Sachsen nach Befehl 201 der SMAD der Prozess gegen das Wachpersonal des Goehle-Werkes statt. Die Verurteilungen erfolgten nach einer mehrtägigen Verhand- lung: Zuchthausstrafen erhielten der stellvertretende Lagerleiter Nitsche, die Meister Dietze, Senkpiel und Dietrich, die SS-Aufsehe- rinnen Schmidt und Schreiber. Gefängnisstrafen bekamen die Lagerleiterin Röthing, ein Meister Käufer und die Aufseherin Vollrath.",Nicht bekannt.,"Vielfach beschwerten sich die Häftlinge außerdem über die dünne und oft mit Tannennadeln verschmutzte Suppe. Die Frauen setzten sich zur Wehr und drohten mit Streik. Sie hatten Erfolg und bekamen pro Tag 50 g Brot mehr, und in der nun gewürzten Suppe schwammen statt Tannennadeln Graupen. 22 mit Gummiknüppeln ausgerüstete Aufseherinnen bewachten die knapp 700 Häftlingsfrauen. Einige hatten selbst im Werk gearbeitet und einen Lehrgang für Aufseherinnen in Holleischen (Holysov) absolviert. Sie setzten ein brutales Regime durch: Dazu gehörte, Frauen, die vor Müdigkeit nachts ihr Pensum nicht geschafft hatten, morgens über den „Bock“ zu legen und zu verprügeln.",Nicht bekannt.,"Nach mehreren Übernachtungen in Scheunen kam es zu einem Zwischenfall. Die Wachen wollten sich nach dem Bericht von Nina Denissowa Reichowa der Gefangenen entledigen und sie mitsamt der Scheune verbrennen. Die Bauern widersetzten sich. Die Wachen ließen von ihrem Vorhaben ab und befahlen den Frauen, sich in Fünferreihen aufzustellen, was diese verweiger- ten. Die herbei gerufene Polizei trieb die Frauen in den Wald. Dort gelang es zahlreichen Frauen, darunter Nina Denissowa Reichowa, zu fliehen.472 KZ-Außenlager in Sachsen","Fußmarsch über Pirna – Königstein – Peterswald (Petrovice), dort konnten einige fliehen – die anderen weiter über Außig (Usti nad Labem) nach Leitmeritz (Litomerice).",1945-04-14,Aussenlager,Nicht bekannt.,Nicht bekannt.,Nicht bekannt.,Nicht bekannt.,Nicht bekannt.,Nicht bekannt.,Nicht bekannt.,Nicht bekannt.,Nicht bekannt.,Nicht bekannt.,Nicht bekannt.,Nicht bekannt.,Nicht bekannt.,Nicht bekannt.
10,Aussenlager KZ Flossenbuerg,RAW Dresden (20.1).,"Dresden, RAW, Weißeritzufer 50.","Reichsbahndirektion Dresden, Reichsbahnausbesserungswerk (RAW).",12. September 1944 bis 19. Februar 1945.,599 Männer.,"Unterkunft und Arbeitsstellen im Bereich des Reichsbahnaus- besserungswerks Dresden-Friedrichstadt, Lokomotivhalle. Auf vierstöckigen Holzpritschen mussten die Häftlinge schlafen, ohne Heizung, mit einer Toilette; es gab nur kaltes Wasser und mangelhafte Ernährung.",Güterwagenausbesserung.,29 während der Fahrt.,Nicht bekannt,"Neun Fluchten – drei Häftlinge, vermutlich Franzosen, versteck- ten sich unter reparierten Waggons, um aus der Halle zu entkom- men. Sie wurden entdeckt und erschossen.",Nicht bekannt.,19. Februar 1945.,"SS-Hauptsturmführer Rudolf Becher, der unter anderem für die Morde während des Evakuierungstransportes verantwortlich war, wurde dafür nicht verurteilt. Er starb in einem sowjetischen Kriegsgefangenenlager.","Die evakuierten Häftlinge waren durch Stress und mangelnde Versorgung und den Bombenangriff vom 13./14. Februar sehr geschwächt. Die Sterbenskranken kamen in direkte Sterbelager, zum Beispiel Laufen/Oberbayern. Diejenigen, die noch arbeitsfähig wirkten, kamen bald zu weiteren Einsätzen in andere Außenlager. Besonders hart war es für diejenigen, die aus Dresden kamen und Mitte März in ein weiteres AL im Gelände des Bahnhofs Friedrichstadt dorthin zurück gebracht wurden.",Nicht bekannt.,22. Februar 1945.,Nicht bekannt.,"Bahnfahrt nach Flossenbürg mit 514 Häftlingen. Zwei SS-Wachen und zwei Kapos ermordeten 13 nicht transportfähige Kranke und verscharrten sie in einem von Häftlingen zuvor ausgehobenen Massengrab. Verzeichnis der KZ-Außenlager 473 Während der Fahrt befahl Lager- und Transportleiter, SS-Haupt- sturmführer Becher, einen Massenmord. Er ließ mit der Maschi- nenpistole in einen Waggon feuern, weil einige Häftlinge durch ein Loch im Dach geflohen waren. Elf Häftlingen gelang die Befrei- ung.",1945-02-19,Aussenlager,Nicht bekannt.,Nicht bekannt.,Nicht bekannt.,Nicht bekannt.,Nicht bekannt.,Nicht bekannt.,Nicht bekannt.,Nicht bekannt.,Nicht bekannt.,Nicht bekannt.,Nicht bekannt.,Nicht bekannt.,Nicht bekannt.,Nicht bekannt.
