id,Evakuierungsbeginn
1,1945-04-14
2,1945-04-19
3,1944-11-28
4,1945-04-19
5,1945-04-13
6,1945-04-14
7,1945-04-14
8,1945-04-14
9,1945-04-14
10,1945-02-19
11,1945-04-13
12,1945-04-14
13,1945-03-01
14,1945-04-16
15,1945-04-13
16,1945-04-15
17,1945-04-13
18,1945-04-14
19,1945-02-18
20,1945-04-27
21,1945-04-14
22,1945-04-15
23,1945-04-16
24,1945-03-10
25,1945-04-17
26,1945-04-13
27,1945-04-13
28,1945-04-13
29,1944-11-24
30,1945-04-13
31,1945-04-13
32,1945-04-13
33,1945-04-16
34,1945-03-31
35,1945-04-13
36,1945-04-16
37,1945-04-13
38,1945-02-23
39,1945-02-18
40,1945-04-14
41,1945-04-14
42,1945-04-13
43,1945-03-25
44,1945-04-13
45,1945-04-13
46,1945-04-14
47,1945-03-28
48,1945-04-13
49,1945-04-16
50,1944-12-10
51,1945-04-13
52,1945-04-13
53,1945-04-26
54,1945-04-13
55,1945-02-28
56,1945-04-14
57,1945-04-13
58,1945-03-30
59,1945-04-14
60,1945-04-15
61,1945-04-13
62,1945-04-04
63,1945-04-11
64,1945-02-10
65,1945-04-12
66,1945-02-11
67,1945-02-11
68,1945-01-31
69,1945-04-14
70,1945-01-17
71,1945-01-21
72,1945-04-07
73,1945-02-06
74,1945-04-09
75,1945-02-06
76,1945-04-04
77,1945-02-09
78,1945-04-09
79,1945-04-23
80,1945-01-31
81,1945-04-18
82,1945-04-04
83,1945-04-11
84,1945-04-05
85,1945-01-25
86,1945-04-05
87,1945-02-23
88,1945-04-04
89,1945-04-12
90,1945-03-15
91,1945-04-09
92,1945-03-01
93,1945-04-07
94,1945-04-08
95,1945-04-13
96,1945-04-14
97,1945-01-01
98,1945-01-18
99,1945-01-19
100,1945-04-09
101,1945-04-11
102,1945-04-07
103,1945-04-07
104,1945-04-09
105,1945-04-08
106,1945-02-08
107,1945-02-01
108,1945-02-10
