NummerierungBrenneretal,DatumAnfang,DatumEnde,,,
2_84.1,1945-04-04,1945-05-10,,,
4,1945-04-11,1945-05-09,4.2,1945-04-11,1945-04-20
5,1945-02-10,1945-04-15,,,
8,1945-04-12,1945-05-10,,,
11,1945-02-11,1945-04-15,,,
12,1945-04-11,1945-04-15,,,
14,1945-01-31,1945-04-15,,,
16,1945-04-14,1945-05-08,,,
31,1945-01-17,1945-05-08,,,
36,1945-01-21,1945-05-06,,,
38,1945-04-07,1945-05-08,,,
40,1945-02-06,1945-04-15,,,
41,1945-04-09,1945-05-08,,,
42,1945-02-06,1945-04-11,,,
43,1945-04-04,1945-05-09,,,
37,1945-02-09,1945-04-11,,,
51,1945-04-09,1945-04-28,,,
56,1945-04-23,1945-05-06,,,
66,1945-01-31,1945-04-15,,,
82,1945-04-18,1945-05-08,,,
85,1945-04-04,1945-05-07,,,
86,1945-04-04,1945-05-07,,,
