id,DatumAnfang,DatumEnde
0,1945-04-14,1945-05-10*
1,1945-04-19,1945-05-09
2,1944-11-28
3,1945-04-19,1945-05-09
4,1945-04-13,
5,1945-04-14,1945-04-07
6,1945-04-14,1945-05-10*
7,1945-04-14,T
8,1945-04-14,L
9,1945-02-19,1945-02-22
10,1945-04-13,1945-05-08
11,1945-04-14,1945-05-09
12,1945-03-01,L
13,1945-04-16,1945-05-08
14,1945-04-13,1945-04-24*
15,1945-04-15,1945-05-06
16,1945-04-13,1945-04-28 M
17,1945-04-14,1945-04-29
18,1945-02-18,1945-05-08
19,1945-04-25,1945-04-27*LT
20,1945-04-14,T
21,1945-04-15,1945-05-07
22,1945-04-16,1945-05-05
23,1945-03-10,1945-04-16
24,1945-04-17,L
25,1945-04-13,1945-05-09
26,1945-04-13,1945-04-23*1945-05-07
27,1945-04-13,na
28,1944-11-24,na
29,1945-04-13,1945-04-27
30,1945-04-13,1945-04-23
31,1945-04-13,1945-05-04
32,1945-04-16,1945-04-16
33,1945-03-31,1945-03-31
34,1945-04-13,1945-05-09
35,1945-04-16,1945-05-01
36,1945-04-13,1945-04-17
37,1945-02-23,L
38,1945-02-18,1945-03-01
39,1945-04-14,1945-04-25
40,1945-04-14,1945-04-21
41,1945-04-13,1945-04-30
42,1945-03-31,na
43,1945-04-15,1945-04-16
44,1945-04-13,L*
45,1945-04-14,1945-05-09
46,1945-03-28,1945-05-06
47,1945-04-13,1945-04-23
48,1945-04-16,na
49,1944-12-10,na
50,1945-04-13,1945-05-09
51,1945-04-13,1945-05-09
52,1945-04-26,1945-04-26
53,1945-04-13,1945-04-29
54,1945-02-28,1945-04-15
55,1945-04-14,LT
56,1945-04-13,1945-05-03
57,1945-03-30,na
58,1945-04-14,1945-05-10*
59,1945-04-15,1945-04-22
60,1945-04-13,1945-04-23
